Redis error read ECONNRESET
Unhandled error: Error: connect ETIMEDOUT
    at PromisePool.query (D:\数据库实验\课程设计\03_项目源码\mychat\node_modules\mysql2\lib\promise\pool.js:36:22)
    at query (D:\数据库实验\课程设计\03_项目源码\mychat\server\mysql.js:56:35)
    at ensureCoreSchema (D:\数据库实验\课程设计\03_项目源码\mychat\server\services\schemaService.js:9:9)
    at Object.login (D:\数据库实验\课程设计\03_项目源码\mychat\server\services\authService.js:35:9)
    at D:\数据库实验\课程设计\03_项目源码\mychat\server\routes\authRouter.js:23:34
    at handler (D:\数据库实验\课程设计\03_项目源码\mychat\server\middleware\asyncHandler.js:3:21)
    at Layer.handle [as handle_request] (D:\数据库实验\课程设计\03_项目源码\mychat\node_modules\express\lib\router\layer.js:95:5)
    at next (D:\数据库实验\课程设计\03_项目源码\mychat\node_modules\express\lib\router\route.js:149:13)
    at Route.dispatch (D:\数据库实验\课程设计\03_项目源码\mychat\node_modules\express\lib\router\route.js:119:3)
    at Layer.handle [as handle_request] (D:\数据库实验\课程设计\03_项目源码\mychat\node_modules\express\lib\router\layer.js:95:5) {
  code: 'ETIMEDOUT',
  errno: undefined,
  sql: undefined,
  sqlState: undefined,
  sqlMessage: undefined
}
Redis error connect ETIMEDOUT
Redis error connect ETIMEDOUT
